epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1067.47,1.06022,0.66895,1.29325,0.88736,0.84011,0.90113,0.50474,1.54716,0.78404,1.7302,0.0011882,0.0011882,0.0011882
43,1093.35,1.02481,0.66883,1.27316,0.90914,0.86773,0.92352,0.5354,1.45657,0.73658,1.66326,0.0011684,0.0011684,0.0011684
44,1119.35,1.03201,0.66392,1.28359,0.88681,0.88076,0.90844,0.53372,1.43007,0.71002,1.64162,0.0011486,0.0011486,0.0011486
45,1145.38,1.02145,0.65184,1.2728,0.91264,0.8493,0.90078,0.5123,1.52312,0.78004,1.68908,0.0011288,0.0011288,0.0011288
46,1171.36,1.00276,0.63419,1.26365,0.87493,0.83198,0.88343,0.51578,1.54332,0.80284,1.74874,0.001109,0.001109,0.001109
47,1197.34,1.02328,0.64519,1.27103,0.80989,0.82385,0.855,0.47327,1.6196,0.92846,1.87428,0.0010892,0.0010892,0.0010892
48,1223.31,1.01324,0.62296,1.26175,0.89897,0.86992,0.92107,0.52917,1.47561,0.7096,1.64005,0.0010694,0.0010694,0.0010694
49,1249.26,0.98773,0.62104,1.25439,0.92772,0.87534,0.92776,0.53117,1.47416,0.66506,1.68772,0.0010496,0.0010496,0.0010496
50,1275.25,0.98868,0.62302,1.26195,0.92379,0.85409,0.92055,0.54016,1.46994,0.70634,1.72884,0.0010298,0.0010298,0.0010298
51,1301.33,1.0004,0.61627,1.2573,0.89983,0.87638,0.91732,0.52284,1.47734,0.74365,1.68599,0.00101,0.00101,0.00101
52,1327.27,0.9766,0.60856,1.24154,0.94038,0.85487,0.92144,0.55146,1.45835,0.69578,1.62126,0.0009902,0.0009902,0.0009902
53,1353.17,0.97381,0.58949,1.24544,0.95467,0.84824,0.92324,0.54326,1.45404,0.74745,1.67055,0.0009704,0.0009704,0.0009704
54,1379.04,0.99582,0.6045,1.25837,0.89947,0.83469,0.89192,0.55444,1.43259,0.74897,1.6557,0.0009506,0.0009506,0.0009506
55,1405.11,0.96634,0.60764,1.24666,0.91256,0.86992,0.91964,0.54776,1.43806,0.70529,1.64052,0.0009308,0.0009308,0.0009308
56,1431.13,0.97286,0.60245,1.24286,0.90351,0.85637,0.91135,0.53736,1.4274,0.72074,1.65902,0.000911,0.000911,0.000911
57,1456.92,0.95166,0.58501,1.23567,0.94347,0.88076,0.9343,0.56982,1.38354,0.66975,1.58032,0.0008912,0.0008912,0.0008912
58,1483.14,0.95327,0.57811,1.23604,0.90597,0.83557,0.90524,0.53361,1.52501,0.80525,1.73562,0.0008714,0.0008714,0.0008714
59,1509.3,0.95126,0.58331,1.23098,0.92211,0.86626,0.9149,0.54566,1.44214,0.71025,1.68319,0.0008516,0.0008516,0.0008516
60,1535.73,0.95449,0.58449,1.22081,0.94116,0.88618,0.92934,0.55285,1.4631,0.69312,1.69706,0.0008318,0.0008318,0.0008318
61,1561.95,0.93061,0.56495,1.20151,0.93893,0.85637,0.93336,0.53244,1.51456,0.68789,1.71233,0.000812,0.000812,0.000812
62,1587.94,0.94559,0.56936,1.22557,0.9144,0.86992,0.9202,0.54441,1.52478,0.74977,1.69512,0.0007922,0.0007922,0.0007922
63,1613.92,0.94324,0.57206,1.21722,0.95249,0.86721,0.93321,0.55559,1.46006,0.68155,1.66706,0.0007724,0.0007724,0.0007724
64,1639.73,0.93531,0.56358,1.2209,0.93154,0.85908,0.91662,0.53621,1.49518,0.70927,1.72708,0.0007526,0.0007526,0.0007526
65,1665.73,0.90078,0.55395,1.20093,0.93027,0.88076,0.92749,0.56461,1.43639,0.69509,1.63756,0.0007328,0.0007328,0.0007328
66,1691.69,0.89736,0.55948,1.20521,0.933,0.86801,0.93338,0.54538,1.45283,0.65985,1.67629,0.000713,0.000713,0.000713
67,1717.46,0.92492,0.56402,1.20853,0.88439,0.87068,0.91669,0.53809,1.46497,0.7499,1.68992,0.0006932,0.0006932,0.0006932
68,1743.29,0.91396,0.55909,1.19632,0.92617,0.8499,0.91694,0.55602,1.47205,0.74125,1.69096,0.0006734,0.0006734,0.0006734
69,1769.31,0.90029,0.55866,1.19942,0.93077,0.87263,0.92461,0.56009,1.43328,0.70138,1.69131,0.0006536,0.0006536,0.0006536
70,1795.15,0.89253,0.52268,1.18552,0.93535,0.90177,0.94641,0.56014,1.46814,0.6787,1.67284,0.0006338,0.0006338,0.0006338
71,1821.32,0.88705,0.54651,1.17978,0.9175,0.88347,0.91776,0.53498,1.4836,0.71632,1.72412,0.000614,0.000614,0.000614
72,1847.31,0.85959,0.5254,1.18834,0.9314,0.88313,0.94249,0.56678,1.41714,0.63164,1.64217,0.0005942,0.0005942,0.0005942
73,1873.4,0.87243,0.53309,1.1862,0.8732,0.87715,0.90214,0.53983,1.48394,0.73872,1.71307,0.0005744,0.0005744,0.0005744
74,1899.53,0.8507,0.51539,1.17793,0.92546,0.84116,0.91404,0.54988,1.4685,0.72961,1.67803,0.0005546,0.0005546,0.0005546
75,1925.71,0.84099,0.50291,1.15947,0.9234,0.84553,0.92375,0.55881,1.44549,0.68112,1.67379,0.0005348,0.0005348,0.0005348
76,1951.63,0.84005,0.50066,1.15999,0.89841,0.87534,0.92355,0.55314,1.48463,0.70379,1.72348,0.000515,0.000515,0.000515
77,1977.52,0.84255,0.50525,1.16149,0.91789,0.90886,0.94061,0.55993,1.4681,0.6486,1.70075,0.0004952,0.0004952,0.0004952
78,2003.59,0.84676,0.50889,1.16148,0.93788,0.85908,0.92701,0.57225,1.42294,0.69482,1.67687,0.0004754,0.0004754,0.0004754
79,2029.75,0.82578,0.4974,1.15305,0.90876,0.89078,0.92273,0.55707,1.42937,0.68532,1.65187,0.0004556,0.0004556,0.0004556
80,2055.65,0.82705,0.49736,1.15462,0.92847,0.87945,0.93976,0.56672,1.4347,0.65695,1.6616,0.0004358,0.0004358,0.0004358
