0,0,0
1,20,23
2,62,73
3,135,160
4,237,279
5,358,422
6,490,577
7,622,733
8,748,880
9,859,1010
10,952,1119
11,1026,1204
12,1079,1266
13,1115,1305
14,1134,1324
15,1140,1329
16,1137,1321
17,1126,1305
18,1112,1284
19,1096,1261
20,1081,1238
21,1067,1217
22,1056,1198
23,1047,1182
24,1042,1169
25,1038,1159
26,1037,1152
27,1038,1146
28,1040,1142
29,1042,1139
30,1045,1137
31,1047,1135
32,1050,1132
33,1052,1129
34,1054,1125
35,1055,1121
36,1057,1116
37,1057,1110
38,1057,1104
39,1057,1098
40,1057,1092
41,1057,1085
42,1056,1078
43,1056,1071
44,1056,1064
45,1056,1057
46,1056,1051
47,1056,1044
48,1056,1038
49,1056,1032
50,1056,1025
51,1056,1019
52,1057,1013
53,1057,1009
54,1057,1005
55,1058,1004
56,1058,1006
57,1058,1011
58,1058,1021
59,1059,1034
60,1059,1052
61,1059,1074
62,1060,1099
63,1060,1127
64,1060,1155
65,1060,1182
66,1060,1208
67,1061,1230
68,1061,1249
69,1061,1263
70,1061,1272
71,1061,1277
72,1062,1277
73,1063,1275
74,1063,1269
75,1064,1261
76,1065,1252
77,1065,1243
78,1066,1233
79,1066,1223
80,1066,1213
81,1066,1204
82,1066,1195
83,1066,1187
84,1066,1179
85,1067,1172
86,1067,1165
87,1067,1158
88,1067,1151
89,1068,1144
90,1067,1137
91,1067,1130
92,1067,1123
93,1067,1116
94,1066,1109
95,1066,1101
96,1067,1094
97,1067,1086
98,1068,1079
99,1068,1071
100,1069,1063
101,1069,1056
102,1070,1048
103,1070,1041
104,1070,1034
105,1071,1026
106,1071,1019
107,1071,1011
108,1071,1004
109,1071,996
110,1071,989
111,1071,983
112,1072,978
113,1072,975
114,1073,975
115,1074,978
116,1075,985
117,1077,996
118,1078,1011
119,1080,1028
120,1081,1047
121,1082,1064
122,1083,1080
123,1083,1093
124,1084,1103
125,1084,1109
126,1085,1112
127,1085,1112
128,1086,1108
129,1086,1103
130,1086,1096
131,1087,1087
132,1087,1078
133,1087,1069
134,1087,1060
135,1087,1052
136,1087,1044
137,1087,1037
138,1087,1030
139,1088,1024
140,1088,1018
141,1088,1012
142,1089,1006
143,1089,1000
144,1090,994
145,1091,988
146,1091,983
147,1092,977
148,1093,971
149,1094,966
150,1095,960
151,1096,955
152,1097,949
153,1098,944
154,1098,941
155,1098,939
156,1098,941
157,1097,948
158,1095,962
159,1093,982
160,1091,1006
161,1090,1032
162,1089,1059
163,1090,1086
164,1091,1110
165,1092,1131
166,1094,1149
167,1096,1162
168,1098,1171
169,1100,1175
170,1102,1176
171,1103,1174
172,1104,1169
173,1105,1163
174,1105,1156
175,1105,1148
176,1106,1139
177,1106,1131
178,1106,1124
179,1107,1116
180,1107,1110
181,1108,1104
182,1108,1098
183,1109,1093
184,1110,1089
185,1110,1084
186,1111,1080
187,1111,1075
188,1111,1072
189,1110,1070
190,1108,1071
191,1104,1076
192,1099,1084
193,1094,1096
194,1088,1113
195,1080,1134
196,1072,1161
197,1063,1193
198,1054,1228
199,1047,1263
200,1043,1292
201,1044,1315
202,1048,1329
203,1056,1334
204,1065,1333
205,1076,1328
206,1086,1323
207,1096,1318
208,1104,1316
209,1111,1315
210,1115,1316
211,1119,1316
212,1121,1316
213,1122,1316
214,1121,1320
215,1120,1327
216,1118,1336
217,1116,1348
218,1114,1360
219,1111,1372
220,1109,1383
221,1108,1393
222,1106,1402
223,1106,1408
224,1105,1413
225,1105,1416
226,1105,1417
227,1106,1418
228,1109,1419
229,1114,1421
230,1121,1423
231,1130,1425
232,1141,1428
233,1152,1430
234,1163,1433
235,1173,1435
236,1182,1437
237,1189,1438
238,1195,1439
239,1199,1440
240,1201,1440
241,1202,1440
242,1203,1440
243,1202,1440
244,1201,1440
245,1200,1439
246,1199,1439
247,1198,1439
248,1196,1439
